Date,PNAS,PAHO
1,12,1
2,7.8,3
3,15.6,4
4,15.05,13
5,15.3,35
6,14.75,55
7,15.5,47
8,20.2,44
9,19.5,117
10,24.1,155
11,12.6,80
12,10,230
13,14,208
14,8.5,255
15,10.8,198
16,5.02,150
17,10,158
18,7.6,159
19,4.95,154
20,4.5,156
21,5.15,202
22,4.7,207
23,4.2,227
24,8.2,186
25,3.8,237
26,3.3,250
27,3.3,304
28,,295
29,,386
30,,427
31,,355
32,,307
33,,396
34,,397
35,,343
36,,346
37,,405
38,,400
39,,343
40,,413
41,,464
42,,382
43,,445
44,,402
45,,291
46,,308
47,,392
48,,403
49,,407
50,,405
51,,400
52,,406
53,,293
54,,310
55,,386
56,,343
57,,395
58,,352
59,,341
60,,320
61,,309
62,,373
63,,367
64,,371
65,,330
66,,270
67,,333
68,,258
69,,280
70,,245
71,,192
72,,227
73,,202
74,,198
75,,194
76,,239
77,,168
78,,207
79,,205
80,,182
81,,193
82,,172
83,,208
84,,204
85,,211
86,,208
87,,196
88,,202
89,,164
90,,163
91,,203
92,,194
93,,193
94,,147
95,,199
96,,254
97,,265
98,,257
99,,261
100,,240
101,,203
102,,197
103,,253
104,,251
105,,243
106,,228
107,,258
108,,237
109,,264
110,,244
111,,248
112,,196
113,,193
114,,174
115,,154
116,,155
117,,192
118,,207
119,,210
120,,187
121,,157
122,,160
123,,190
124,,196
125,,198
126,,147
127,,145
128,,118
129,,130
130,,142
131,,156
132,,165
133,,159
